公告,#genre#
直播源均来自网络，不得商用，仅供学习交流使用。,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
更新日期,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
2025-06-22,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8
央视频道,#genre#
CGTN法语,http://221.223.16.242:58888/rtp/239.3.1.218:4220
CGTN法语,http://123.112.213.226:4022/rtp/239.3.1.218:4220
CGTN法语,http://114.254.32.75:4022/rtp/239.3.1.218:4220
CGTN法语,http://221.223.19.121:58888/rtp/239.3.1.218:4220
CGTN法语,http://222.130.81.44:4022/rtp/239.3.1.218:4220
CGTN法语,http://221.219.183.71:4022/rtp/239.3.1.218:4220
CGTN法语,http://123.118.56.82:8686/rtp/239.3.1.218:4220
CGTN法语,http://114.254.95.90:4022/rtp/239.3.1.218:4220
CGTN法语,http://125.34.48.171:7077/rtp/239.3.1.218:4220
CGTN法语,http://114.254.98.68:4022/rtp/239.3.1.218:4220
CGTN法语,http://111.199.7.235:8686/rtp/239.3.1.218:4220
CGTN法语,http://111.196.61.101:4022/rtp/239.3.1.218:4220
CGTN法语,http://114.249.0.11:4022/rtp/239.3.1.218:4220
CGTN法语,http://221.223.21.131:58888/rtp/239.3.1.218:4220
CGTN法语,http://221.223.17.171:8888/rtp/239.3.1.218:4220
CGTN法语,http://114.240.41.212:8888/rtp/239.3.1.218:4220
CGTN法语,http://123.112.156.41:4022/rtp/239.3.1.218:4220
CGTN法语,http://123.113.14.108:8012/rtp/239.3.1.218:4220
CGTN法语,http://123.120.3.31:4022/rtp/239.3.1.218:4220
CGTN法语,http://123.120.53.233:4022/rtp/239.3.1.218:4220
CGTN法语,http://123.113.15.147:4022/rtp/239.3.1.218:4220
CGTN法语,http://123.118.56.163:8686/rtp/239.3.1.218:4220
CGTN法语,http://111.193.236.9:4022/rtp/239.3.1.218:4220
CGTN法语,http://123.115.118.228:9000/rtp/239.3.1.218:4220
CGTN法语,http://114.246.181.31:4022/rtp/239.3.1.218:4220
CGTN法语,http://111.193.239.245:9999/rtp/239.3.1.218:4220
CGTN法语,http://123.120.4.227:4022/rtp/239.3.1.218:4220
CGTN法语,http://114.240.231.100:3000/rtp/239.3.1.218:4220
CGTN法语,http://111.196.9.124:4022/rtp/239.3.1.218:4220
CGTN法语,http://115.63.39.9:4000/udp/225.1.5.37:1347
CGTN法语,http://118.250.98.61:8888/udp/239.76.246.87:1234
CGTN阿语,http://221.223.16.242:58888/rtp/239.3.1.219:4220
CGTN阿语,http://123.112.213.226:4022/rtp/239.3.1.219:4220
CGTN阿语,http://114.254.32.75:4022/rtp/239.3.1.219:4220
CGTN阿语,http://221.223.19.121:58888/rtp/239.3.1.219:4220
CGTN阿语,http://222.130.81.44:4022/rtp/239.3.1.219:4220
CGTN阿语,http://221.219.183.71:4022/rtp/239.3.1.219:4220
CGTN阿语,http://123.118.56.82:8686/rtp/239.3.1.219:4220
CGTN阿语,http://114.254.95.90:4022/rtp/239.3.1.219:4220
CGTN阿语,http://125.34.48.171:7077/rtp/239.3.1.219:4220
CGTN阿语,http://114.254.98.68:4022/rtp/239.3.1.219:4220
CGTN阿语,http://111.199.7.235:8686/rtp/239.3.1.219:4220
CGTN阿语,http://111.196.61.101:4022/rtp/239.3.1.219:4220
